rule_id,path,repo_root,detector_verdict,detector_confidence,strong_signals,weak_signals,evidence_preview,review_priority,status,notes
PR8,trl/experimental/bco/bco_trainer.py,/home/areej/code/trl,present,high,10,0,L190: raise ValueError( | L211: prompt/attention mask length check,low,unclear,Mostly __init__/tensor shape checks (L190-L265); not validation between pipeline stages or agents
PR8,trl/experimental/cpo/cpo_trainer.py,/home/areej/code/trl,present,high,8,0,L150: train_dataset required | L155: model_kwargs conflict,low,unclear,"Config and constructor validation; typical Trainer guards, not inter-stage handoff gates"
PR8,trl/experimental/distillation/distillation_trainer.py,/home/areej/code/trl,present,high,10,0,L172-L198: teacher request input/shape validation,medium,present,Validates teacher-request inputs before server call — artifact gate
PR8,trl/experimental/orpo/orpo_trainer.py,/home/areej/code/trl,present,high,8,0,L159: train_dataset required | L164: model_kwargs conflict,low,unclear,Same pattern as other trainers: required args and setup validation only
PR8,trl/trainer/grpo_trainer.py,/home/areej/code/trl,present,high,10,0,L328: processing_class TypeError | L355: raise TypeError,low,present,L1526 tool not found; L1714 rollout_func output keys — same gate pattern as DPPO
PR8,trl/trainer/rloo_trainer.py,/home/areej/code/trl,present,high,10,0,L274: processing_class TypeError | L287: raise TypeError,low,unclear,"Same as GRPO: constructor/type checks, not between-stage validation"
PR8,trl/experimental/dppo/dppo_trainer.py,/home/areej/code/trl,present,high,10,0,L462: tool not found | L648: rollout_func output keys,medium,present,L648 validates rollout output dict before next step; L462 tool lookup gate — closer to PR8 intent
PR8,trl/experimental/ppo/ppo_trainer.py,/home/areej/code/trl,present,high,10,0,L158: division check | L374: train_dataset required,low,unclear,Utility and training-setup raises; no clear validation before handoff to next component
PR8,trl/experimental/gold/gold_trainer.py,/home/areej/code/trl,present,high,10,0,L563/L796: raise ValueError in training path,low,unclear,Training-loop and config validation; not structured inter-stage gates
PR8,trl/experimental/prm/prm_trainer.py,/home/areej/code/trl,present,high,5,1,L174: train_dataset required | L184: raise TypeError,low,unclear,Required dataset and type checks at setup; weak if_is_none at L173
PR8,trl/trainer/utils.py,/home/areej/code/trl,present,high,10,0,L169: padding_side check | L216: raise ValueError,medium,unclear,"Shared helper validators (padding, batch utils); useful checks but not orchestration stage gates"
PR8,trl/experimental/sdft/sdft.py,/home/areej/code/trl,present,high,5,1,L170: dataset columns | L374-L375: split validation,medium,present,Validates dataset columns and splits before launching SDFTTrainer — input artifact gate
PR8,trl/experimental/utils.py,/home/areej/code/trl,present,high,10,0,L86: unexpected batch key | L75: raise ValueError,medium,unclear,"Batch key validation in collator path; shared util, not multi-agent stage gate"
PR8,trl/generation/vllm_client.py,/home/areej/code/trl,present,high,5,0,L168: def check_server | L576: raise ValueError,low,present,check_server gate before vLLM requests — clear PR8-style validation
PR8,trl/trainer/reward_trainer.py,/home/areej/code/trl,present,high,10,0,L343: train_dataset required | L375: raise ValueError,low,unclear,"Standard Trainer setup validation (dataset, model config); not between-agent gates"
